,date,volume,open,high,low,close,label,MA-5,MA-10,MA-20,MA-60,RSI-14,MACD,MACD_signal,MACD_hist,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,buy,sell,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,MarginShortSalesPreviousDayBalance,MarginShortSalesShortSales,MarginShortSalesShortCovering,MarginShortSalesStockRedemption,MarginShortSalesCurrentDayBalance,MarginShortSalesQuota,SBLShortSalesPreviousDayBalance,SBLShortSalesShortSales,SBLShortSalesReturns,SBLShortSalesAdjustments,SBLShortSalesCurrentDayBalance,SBLShortSalesQuota,SBLShortSalesShortCovering
500,2014-12-12,4856079,106.5,110.0,106.5,108.0,0.0,0.02466793168880436,0.027104136947218204,0.05022609033889232,0.03415256942227963,60.12394539914231,1.089528993486411,0.4879318102147867,0.6015971832716243,463,5,6482398,517,18136,18195, ,81,209,1,6482398,68,4156,4298,17886697,28772431,TW0002330008,5884578297,20044796659,22.69,77.3,100.0,100.0,25929374956,2014-05-20,4298000.0,68000.0,209000.0,1000.0,4156000.0,-2107536223.0,52656000.0,74000.0,0.0,0.0,52730000.0,6873359.0,0.0
501,2014-12-15,2263839,107.0,108.5,106.5,107.0,0.0,0.009433962264150672,0.013737565135007132,0.03662080992055776,0.025477198306845042,57.42705262201656,1.1845560415333978,0.6272566564785089,0.5572993850548889,352,32,6482398,474,17982,18136, ,311,39,2,6482398,161,4276,4156,35240712,24089940,TW0002330008,5873142525,20056232431,22.65,77.34,100.0,100.0,25929374956,2014-05-20,4156000.0,161000.0,39000.0,2000.0,4276000.0,-2107536223.0,52730000.0,102000.0,0.0,0.0,52832000.0,6872623.0,0.0
502,2014-12-16,2363513,106.0,107.5,104.5,104.5,0.0,-0.015080113100848468,-0.011352885525070982,0.008687258687258465,0.0024782156847076215,51.239158308218066,1.0460780188746952,0.7110209289577462,0.33505708991694905,1572,3,6482398,313,19238,17982, ,65,392,0,6482398,40,3924,4276,18472000,38603291,TW0002330008,5893338816,20036036140,22.72,77.27,100.0,100.0,25929374956,2014-05-20,4276000.0,40000.0,392000.0,0.0,3924000.0,-2107536223.0,52832000.0,0.0,0.0,0.0,52832000.0,6930672.0,0.0
503,2014-12-17,4181945,104.5,105.5,100.5,100.5,0.0,-0.045584045584045815,-0.044222539229671946,-0.03053103747648682,-0.03458213256484092,43.2155289394407,0.6065744054654374,0.6901316242592844,-0.08355721879384703,4087,9,6482398,1142,22174,19238, ,404,859,0,6482398,48,3113,3924,41533000,79689663,TW0002330008,5931909909,19997465047,22.87,77.12,100.0,100.0,25929374956,2014-05-20,3924000.0,48000.0,859000.0,0.0,3113000.0,-2107536223.0,52832000.0,6900000.0,4127000.0,0.0,55605000.0,7344219.0,0.0
504,2014-12-18,2260315,102.0,104.0,102.0,104.0,0.0,-0.0076335877862597845,-0.009995240361732481,0.0012033694344163659,0.0002404424140424385,50.51710639406163,0.5345237179742668,0.6590100430022809,-0.12448632502801416,1761,25,6482398,1030,22880,22174, ,160,170,0,6482398,179,3122,3113,26230972,46035300,TW0002330008,5953813667,19975561289,22.96,77.03,100.0,100.0,25929374956,2014-05-20,3113000.0,179000.0,170000.0,0.0,3122000.0,-2107536223.0,55605000.0,1158500.0,5761000.0,0.0,51002500.0,7499795.0,0.0
505,2014-12-19,2326756,108.0,108.0,103.0,103.0,0.0,-0.007707129094412576,-0.015296367112810653,-0.010091302258529526,-0.008423586040914019,48.59449792860644,0.39221023098859575,0.605650080599544,-0.2134398496109482,259,16,6482398,3572,19551,22880, ,269,90,2,6482398,1882,4912,3122,33651904,16120489,TW0002330008,5934298252,19995076704,22.88,77.11,100.0,100.0,25929374956,2014-05-20,3122000.0,1882000.0,90000.0,2000.0,4912000.0,-2107536223.0,51002500.0,41000.0,9256000.0,0.0,41787500.0,7681170.0,0.0
506,2014-12-22,1316763,105.0,105.5,103.5,105.5,0.0,0.019323671497584263,0.007159904534606206,0.011262880421758898,0.015969825856673357,53.372229301957375,0.47567162744154246,0.5796543899679436,-0.10398276252640115,690,0,6482398,1009,19232,19551, ,123,185,0,6482398,362,5089,4912,26973000,14475442,TW0002330008,5922204064,20007170892,22.83,77.16,100.0,100.0,25929374956,2014-05-20,4912000.0,362000.0,185000.0,0.0,5089000.0,-2107536223.0,41787500.0,121000.0,0.0,0.0,41908500.0,7626642.0,0.0
507,2014-12-23,934931,105.5,106.0,104.5,105.0,0.0,0.01351351351351329,0.0014306151645207981,0.004784688995215311,0.011317120154105992,52.324777159787836,0.4957548112443675,0.5628744742232283,-0.06711966297886085,685,0,6482398,363,19554,19232, ,46,194,1,6482398,89,4983,5089,11312000,10520500,TW0002330008,5920782564,20008592392,22.83,77.16,100.0,100.0,25929374956,2014-05-20,5089000.0,89000.0,194000.0,1000.0,4983000.0,-2107536223.0,41908500.0,524000.0,0.0,0.0,42432500.0,7617796.0,0.0
508,2014-12-24,1077224,105.5,106.0,104.5,106.0,0.0,0.012416427889207094,0.009523809523809525,0.011933174224343675,0.021276595744681503,54.25828513372705,0.5856119517024894,0.5674219697190805,0.01818998198340882,288,2,6482398,184,19656,19554, ,31,206,5,6482398,133,4905,4983,10387000,8099000,TW0002330008,5919535972,20009838984,22.82,77.17,100.0,100.0,25929374956,2014-05-20,4983000.0,133000.0,206000.0,5000.0,4905000.0,-2107536223.0,42432500.0,90000.0,316000.0,0.0,42206500.0,7546380.0,0.0
509,2014-12-25,1030235,106.0,106.0,104.0,104.5,0.0,-0.0028625954198475715,-0.0028625954198473014,-0.002148484125089466,0.0071480202393388315,50.922205683646794,0.5296810850904592,0.5598737927933563,-0.03019270770289706,174,20,6482398,68,19742,19656, ,27,119,0,6482398,26,4812,4905,2330000,3172000,TW0002330008,5919514972,20009859984,22.82,77.17,100.0,100.0,25929374956,2014-05-20,4905000.0,26000.0,119000.0,0.0,4812000.0,-2107536223.0,42206500.0,0.0,0.0,0.0,42206500.0,7428628.0,0.0
